index,Song,Artist,All Chords,Chords,Label,Link
596,i-hope-that-i-dont-fall-in-love-with-you,tom-waits,"['C', 'C', 'E', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'F', 'C', 'G', 'C', 'F', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'F', 'G', 'F', 'C', 'G', 'C', 'F', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'F', 'G', 'F', 'C', 'G', 'C', 'F', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'F', 'G', 'F', 'C', 'G', 'C', 'F', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'F', 'G', 'F', 'C', 'G', 'C', 'F', 'C', 'F', 'G', 'C', 'F', 'G']","E,G,C,F",novice,https://tabs.ultimate-guitar.com/tab/tom-waits/i-hope-that-i-dont-fall-in-love-with-you-chords-1057913
597,there-she-goes,the-las,"['G/F#', 'G', 'D', 'C', 'G/F#', 'G', 'D', 'C', 'G/F#', 'G', 'D', 'C', 'Am', 'G', 'C', 'D', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'Am', 'G', 'C', 'Am', 'G', 'C', 'D', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'Am', 'G', 'C', 'Am', 'G', 'C', 'D', 'G/F#', 'G', 'D', 'C', 'G/F#', 'G', 'D', 'C', 'G/F#', 'G', 'D', 'C', 'Am', 'G', 'C', 'Am', 'G', 'C', 'D', 'Em', 'C', 'Em', 'C', 'D', 'G', 'D', 'Cadd9', 'D', 'G', 'D', 'C', 'Am', 'Em', 'C', 'D', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'Am', 'G', 'C', 'Am', 'G', 'C', 'D', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D']","Em,Cadd9,C,Am,G/F#,D,G",novice,https://tabs.ultimate-guitar.com/tab/the-las/there-she-goes-chords-73933
598,alpha-and-omega,israel-new-breed,"['Db', 'Ebm', 'Db', 'Db', 'Ebm', 'Db', 'Db', 'Ebm', 'Db', 'Db', 'Ebm', 'Db', 'Ab', 'Bb', 'Ab', 'Ab', 'Bbm', 'Ab', 'C', 'Db', 'Db', 'Bbm', 'C', 'F', 'Bbm', 'Ab', 'Gb', 'Db', 'F', 'Db', 'Gb', 'Eb', 'Gb', 'Ebm', 'Db', 'Ab', 'Ab', 'Bbm', 'Ab', 'C', 'Ab']","C,Db,Gb,Ebm,Eb,Ab,Bb,Bbm,F",advanced,https://tabs.ultimate-guitar.com/tab/israel-new-breed/alpha-and-omega-chords-891745
599,photograph,ed-sheeran,"['E', 'E', 'C#m', 'C#m', 'B', 'B', 'A', 'A', 'E', 'C#m', 'B', 'A', 'E', 'C#m', 'B', 'A', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'E', 'B', 'B', 'C#m', 'A', 'E', 'E', 'C#m', 'B', 'A', 'E', 'C#m', 'B', 'A', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'E', 'B', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'C#m', 'A', 'E', 'B', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A']","A,C#m,E,B",intermediate,https://tabs.ultimate-guitar.com/tab/ed-sheeran/photograph-chords-1696127
600,wet-sand,red-hot-chili-peppers,"['G', 'D', 'Em', 'Bm', 'G', 'D', 'Em', 'Bm', 'G', 'D', 'Em', 'Bm', 'G', 'D', 'Em', 'Bm', 'G', 'D', 'Em', 'Bm', 'G', 'D', 'Em', 'Bm', 'Em', 'G', 'D', 'Em', 'Em', 'G', 'D', 'Em', 'Em', 'G', 'D', 'Em', 'Em', 'G', 'D', 'G', 'D', 'Em', 'Bm', 'G', 'D', 'Em', 'Bm', 'Em', 'G', 'D', 'Em', 'Em', 'G', 'D', 'E', 'C', 'E', 'E', 'C', 'E', 'E', 'C', 'E', 'E', 'G', 'D', 'Em', 'Bm', 'G', 'D', 'Em', 'Bm', 'Em', 'G', 'D', 'Em', 'Em', 'G', 'D', 'E', 'C', 'E', 'E', 'C', 'E', 'E', 'C', 'E', 'E', 'E', 'F#', 'G#m', 'E', 'F#', 'G#m', 'E', 'F#', 'G#m', 'F#', 'E', 'D#', 'E', 'F#', 'G#m', 'E', 'F#', 'G#m', 'E', 'F#', 'G#m', 'F#', 'E', 'E', 'F#', 'G#m', 'E', 'F#', 'G#m', 'E', 'F#', 'G#m', 'F#', 'G#m', 'G#m', 'D#m', 'Emaj7', 'G#m', 'D#m', 'Emaj7', 'G#m', 'D#m', 'Emaj7', 'D#m', 'G#m', 'G#m', 'D#m', 'Emaj7', 'G#m', 'D#m', 'Emaj7', 'G#m', 'D#m', 'Emaj7', 'D#m']","Em,C,F#,E,D#m,Bm,D#,Emaj7,D,G#m,G",novice,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/wet-sand-chords-356738
601,still-loving-you,scorpions,"['Em', 'D', 'C', 'B7', 'Em', 'F#', 'B', 'Em', 'F#', 'B', 'Em', 'D', 'C', 'B7', 'Em', 'F#', 'B', 'Em', 'F#', 'B', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'Am', 'B', 'Em', 'C', 'D', 'Em', 'Em', 'D', 'C', 'B7', 'Em', 'F#', 'B', 'Em', 'F#', 'B', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'Am', 'B', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'Am', 'B', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'G', 'D', 'Em', 'C', 'G', 'G', 'D', 'Em', 'C', 'G']","Em,C,B7,Am,F#,B,D,G",intermediate,https://tabs.ultimate-guitar.com/tab/scorpions/still-loving-you-chords-1088579
602,before-you-go,lewis-capaldi,"['C', 'Am7', 'Fmaj7', 'Gsus4', 'G', 'C', 'Am7', 'Fmaj7', 'Gsus4', 'G', 'C', 'G6', 'Am', 'Fmaj7', 'G', 'C', 'G6', 'Am', 'Fmaj7', 'G', 'C', 'C', 'Am7', 'Fmaj7', 'Gsus4', 'G', 'C', 'Am7', 'Fmaj7', 'Gsus4', 'G', 'C', 'G6', 'Am', 'Fmaj7', 'G', 'C', 'G6', 'Am', 'Fmaj7', 'G', 'Am7', 'Am7', 'Fmaj7', 'C', 'G', 'Am7', 'Fmaj7', 'G', 'G7', 'C', 'C', 'G6', 'Am7', 'Fmaj7', 'G', 'C', 'G6', 'Am7', 'Fmaj7', 'G']","C,Am7,Am,Gsus4,Fmaj7,G6,G7,G",intermediate,https://tabs.ultimate-guitar.com/tab/lewis-capaldi/before-you-go-chords-2898800
603,hard-times-no-one-knows-better-than-i,ray-charles,"['Eb7', 'Ab7', 'G7', 'Bdim', 'Cm', 'B+', 'Bbm7', 'Eb9', 'Eb+', 'Ab7', 'Adim', 'Eb7', 'C9', 'B9', 'Bb7(b13)', 'Eb6', 'Bb7(b13)', 'Eb7', 'Ab7', 'G7', 'Bdim', 'Cm', 'B+', 'Bbm7', 'Eb9', 'E+', 'Ab7', 'Adim', 'Eb7', 'C9', 'B9', 'Bb7(b13)', 'Eb6', 'Bb7(b13)', 'Eb6', 'G7', 'Cm', 'B+', 'Eb', 'Eb9', 'Ab7', 'Adim', 'Eb/Bb', 'C9', 'Eb6', 'Eb6', 'Ab7', 'G7', 'Bdim', 'Cm', 'B+', 'Bbm7', 'Eb9', 'Eb+', 'Ab7', 'Adim', 'Eb7', 'C9', 'B9', 'Bb7(b13)', 'Eb6', 'Ab9', 'Gb9', 'E9', 'Eb7', 'Ab', 'G7', 'Bdim', 'Cm', 'B+', 'Bbm7', 'Eb9', 'Eb+', 'Ab7', 'Adim', 'Eb7', 'C9', 'B9', 'Bb7(b13)', 'Eb6', 'F7', 'E7']","Ab9,B9,Bbm7,Eb6,F7,B+,C9,Eb,Adim,Eb+,Bdim,Ab7,Ab,Eb/Bb,Bb7(b13),G7,Eb9,E7,Eb7,Cm,Gb9,E9,E+",advanced,https://tabs.ultimate-guitar.com/tab/ray-charles/hard-times-no-one-knows-better-than-i-chords-3179180
604,i-am-the-light-of-this-world,jorma-kaukonen,"['C', 'C', 'F', 'C', 'G', 'Em', 'F', 'C', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'C', 'C', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'C', 'C', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'C', 'C', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'C', 'C', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'C', 'C', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'C', 'C', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F']","Em,G,C,F",advanced,https://tabs.ultimate-guitar.com/tab/jorma-kaukonen/i-am-the-light-of-this-world-chords-2726904
605,empty-space,james-arthur,"['C', 'C', 'G/B', 'G/B', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'F', 'G', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'G/B', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'F', 'G', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'G/B', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'F', 'G', 'C', 'C', 'G/B', 'G/B', 'F']","G,C,G/B,F",novice,https://tabs.ultimate-guitar.com/tab/james-arthur/empty-space-chords-2497245
606,let-me-down-slowly,alec-benjamin,"['Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em']","Em,F,G,Am",novice,https://tabs.ultimate-guitar.com/tab/alec-benjamin/let-me-down-slowly-chords-2403605
607,lucky,jason-mraz,"['C', 'C', 'Am', 'Dm', 'G', 'Em', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'G', 'Em', 'Am', 'Dm', 'G', 'Am', 'Am', 'Dm', 'G', 'C', 'Am', 'Am', 'Dm', 'G', 'C', 'Am', 'G', 'Dm', 'Am', 'G', 'Am', 'Dm', 'Am', 'G', 'Am', 'Dm', 'Am', 'G', 'Am', 'Dm', 'G', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'G', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'G', 'Em', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'G', 'Em', 'Am', 'Dm', 'G', 'Am', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'G', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'G', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'Dm', 'G']","Em,C,Am,Dm,G",novice,https://tabs.ultimate-guitar.com/tab/jason-mraz/lucky-chords-686977
608,younger,harry-gardner,"['Eb', 'Bb', 'Cm', 'Ab', 'Eb', 'Bb', 'Cm', 'Ab', 'Eb', 'Cm', 'Ab', 'Eb', 'Bb', 'Cm', 'Ab', 'Eb', 'Bm', 'Cm', 'Ab', 'Eb', 'Bb', 'Cm', 'Ab', 'Eb', 'Cm', 'Ab', 'Eb', 'Bb', 'Ab', 'Bb', 'Cm', 'Ab', 'Bb', 'Cm', 'Ab', 'Bb', 'Cm', 'Ab', 'Bb', 'Dm', 'Ab', 'Bb', 'Cm', 'Ab', 'Bb', 'Cm', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Bb', 'Bb', 'Ab', 'Eb', 'Bb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Eb', 'Bb', 'Ab', 'Eb', 'Bb', 'Cm', 'Ab', 'Eb', 'Bb', 'Cm', 'Ab', 'Eb', 'Bb', 'Cm', 'Ab', 'Eb', 'Bb', 'Cm', 'Ab', 'Eb', 'Bb', 'Ab', 'Eb', 'Cm', 'Ab', 'Bb', 'Cm', 'Ab', 'Bb', 'Cm', 'Ab', 'Bb', 'Cm', 'Ab', 'Bb', 'Cm', 'Ab', 'Bb', 'Cm', 'Bb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Eb', 'Ab', 'Eb', 'Cm', 'Eb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Eb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Ab', 'Eb', 'Bb', 'Cm', 'Ab', 'F', 'Eb', 'Cm', 'F', 'Ab', 'Eb', 'C', 'Ab', 'Bb', 'Fm', 'Ab', 'Bb', 'Cm', 'Ab', 'Bb', 'Cm', 'Bb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Cm', 'Bb', 'Ab', 'Eb', 'Ab', 'Eb', 'Bb', 'Cm', 'Ab', 'Eb', 'Bb', 'Cm', 'Eb', 'Ab', 'Eb', 'Bb']","C,Cm,Dm,Fm,Eb,Ab,Bb,Bm,F",advanced,https://tabs.ultimate-guitar.com/tab/harry-gardner/younger-chords-2858738
609,how-deep-is-your-love,bee-gees,"['Eb', 'D', 'C', 'Eb', 'Eb', 'Eb', 'Eb', 'Ebmaj7', 'Abmaj7', 'Abmaj7/Bb', 'Eb', 'Ebmaj7', 'Abmaj7', 'Abmaj7/Bb', 'Eb', 'Gm7', 'Fm7', 'C7', 'Fm7', 'G7', 'Abmaj7/Bb', 'Eb', 'Gm7', 'Cm7', 'Fm7', 'Abmaj7/Bb', 'Abmaj7', 'Gm7', 'Fm7', 'Db9', 'Gm7', 'Abmaj7/Bb', 'Eb', 'Eb', 'Ebmaj7', 'Abmaj7', 'Abm6', 'Eb', 'Db6', 'C7', 'C7', 'Fm7', 'Abm6', 'Eb', 'Eb', 'Gm7', 'Fm7', 'C7', 'Fm7', 'G7', 'Abmaj7/Bb', 'Eb', 'Gm7', 'Cm7', 'Fm7', 'Abmaj7/Bb', 'Abmaj7', 'Gm7', 'Fm7', 'Db9', 'Gm7', 'Abmaj7/Bb', 'Eb', 'Eb', 'Ebmaj7', 'Abmaj7', 'Abm6', 'Eb', 'Db6', 'C7', 'C7', 'Fm7', 'Abm6', 'Eb', 'Eb', 'Gm7', 'Fm7', 'C7', 'Fm7', 'G7', 'Abmaj7/Bb', 'Eb', 'Gm7', 'Cm7', 'Fm7', 'Abmaj7/Bb', 'Abmaj7', 'Gm7', 'Fm7', 'Db9', 'Gm7', 'Abmaj7/Bb', 'Eb', 'Eb', 'Ebmaj7', 'Abmaj7', 'Abm6', 'Eb', 'Db6', 'C7', 'C7', 'Fm7', 'Abm6', 'Eb', 'Gm7', 'Abmaj7/Bb', 'Eb', 'Ebmaj7', 'Abmaj7', 'Abm6', 'Eb', 'Db6', 'C7', 'C7', 'Fm7', 'Abm6', 'Eb', 'Gm7']","Ebmaj7,Abmaj7,C,Abmaj7/Bb,Fm7,Db6,Eb,Db9,Cm7,Abm6,Gm7,G7,D,C7",intermediate,https://tabs.ultimate-guitar.com/tab/bee-gees/how-deep-is-your-love-chords-16880
610,wait-a-minute,willow-smith,"['D#', 'B', 'C#', 'D#m', 'G#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'C#', 'D#m', 'B', 'A#m', 'D#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'C#', 'D#m', 'B', 'D#m', 'C#', 'D#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'A#m', 'D#m', 'G#m', 'C#m', 'G#m', 'C#m', 'G#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'A#m', 'D#m', 'G#m', 'B', 'A#m', 'C#m', 'G#m', 'B', 'A#m', 'C#m', 'G#m']","B,A#m,D#m,D#,C#m,G#m,C#",intermediate,https://tabs.ultimate-guitar.com/tab/willow-smith/wait-a-minute-chords-1949519
611,a-groovy-kind-of-love,phil-collins,"['G', 'D', 'G', 'D', 'G', 'D', 'F#m', 'G', 'C', 'Am', 'Bm', 'C', 'D', 'F#m', 'G', 'D', 'F#m', 'G', 'D', 'F#m', 'G', 'D', 'F#m', 'G', 'C', 'Am', 'Bm', 'C', 'D', 'F#m', 'G', 'D', 'F#m', 'G', 'D', 'F#m', 'A', 'E', 'A', 'D', 'Bm', 'C#m', 'D', 'A', 'E', 'A', 'D', 'Bm', 'C#m', 'D', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'D', 'F#m', 'E', 'D', 'F#m', 'E', 'D', 'F#m', 'E']","A,C,Am,F#m,E,Bm,D,G,C#m",advanced,https://tabs.ultimate-guitar.com/tab/phil-collins/a-groovy-kind-of-love-chords-657000
612,river,leon-bridges,"['D', 'G', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'G', 'Em', 'Em', 'G', 'D', 'Em', 'G', 'D', 'G', 'D', 'D', 'G', 'Em', 'Em', 'G', 'D', 'Em', 'G', 'D', 'D', 'D', 'D', 'G', 'D', 'G', 'Em', 'G', 'D', 'Em', 'G']","Em,A,D,G",novice,https://tabs.ultimate-guitar.com/tab/leon-bridges/river-chords-1751416
613,tears-in-heaven,eric-clapton,"['G', 'D', 'Em', 'C', 'G', 'D', 'G', 'D', 'Em', 'C', 'G', 'D', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'Bm', 'Dm', 'E', 'E7', 'E', 'Am', 'D', 'D7', 'D', 'G', 'G', 'D', 'Em', 'C', 'G', 'D', 'G', 'D', 'Em', 'C', 'G', 'D', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'Bm', 'Dm', 'E', 'E7', 'E', 'Am', 'D', 'D7', 'D', 'G', 'G', 'D', 'Em', 'C', 'G', 'D', 'Bb', 'F', 'Gm', 'C', 'F', 'F', 'C', 'Dm', 'C', 'F', 'Bb', 'F', 'Gm', 'C', 'F', 'C', 'D', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'Bm', 'Dm', 'E', 'E7', 'Am', 'D', 'D7', 'D', 'G', 'G', 'D', 'Em', 'C', 'G', 'D', 'G', 'D', 'Em', 'C', 'G', 'D', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'Bm', 'Dm', 'E', 'E7', 'E', 'Am', 'D7', 'D', 'G', 'E', 'Am', 'D7', 'D', 'G', 'G', 'D', 'Em', 'C']","Em,Gm,C,Am,D7,Dm,E,Bm,Bb,D,G,E7,F",intermediate,https://tabs.ultimate-guitar.com/tab/eric-clapton/tears-in-heaven-chords-1089370
614,two-of-us,louis-tomlinson,"['F', 'C', 'G', 'G/B', 'Am', 'Cadd9', 'Em', 'F', 'C', 'G', 'F', 'C', 'G', 'G', 'G/B', 'F', 'C', 'G', 'Am', 'Cadd9', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am', 'Dm', 'Em', 'F', 'G', 'Am', 'G', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am', 'Em', 'F', 'C', 'G']","Em,Cadd9,C,Am,Dm,G/B,G,F",novice,https://tabs.ultimate-guitar.com/tab/louis-tomlinson/two-of-us-chords-2626485
615,forever-young,alphaville,"['C', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'Am', 'G', 'C', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'Am', 'G', 'C', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'Am', 'G', 'C', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'Am', 'G', 'C', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'C', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'C', 'G', 'F', 'C', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'Am', 'G', 'C', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'Am', 'G', 'C', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'Am', 'G', 'C', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'C', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'C', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'G', 'C', 'G', 'Am', 'F', 'G', 'Dm', 'F']","C,Am,Dm,G,F",intermediate,https://tabs.ultimate-guitar.com/tab/alphaville/forever-young-chords-1131576
616,if-you-were-here-with-me-tonight,barry-manilow,"['D', 'Em/D', 'Dadd9', 'D', 'Em/D', 'Dadd9', 'Am7', 'G/A', 'Em7/A', 'D', 'D', 'Em', 'D', 'Dadd9', 'Am7', 'C/D', 'D', 'G', 'G', 'D/F#', 'G', 'A', 'A', 'D', 'D', 'Em', 'D', 'Dadd9', 'Am7', 'C/D', 'D', 'G', 'G', 'D/F#', 'Em7', 'G', 'A', 'A', 'Am7', 'C/D', 'D', 'Gadd9', 'B', 'G/B', 'C', 'A', 'G/A', 'Dsus', 'D', 'F#m7', 'G', 'Em7', 'G/A', 'A/G', 'Dadd9', 'F#', 'D/F#', 'Am7', 'C/D', 'D', 'G', 'F#', 'Bm', 'A', 'G', 'G/A', 'A', 'D', 'Em/D', 'Dadd9', 'D', 'Em', 'D', 'D', 'D', 'Em', 'D', 'Dadd9', 'Am7', 'C/D', 'D', 'G', 'G', 'D/F#', 'G', 'A', 'A', 'D', 'D', 'Em', 'D', 'Dadd9', 'Am7', 'C/D', 'D', 'G', 'G', 'D/F#', 'Em7', 'G', 'A', 'Am7', 'C/D', 'D', 'Gadd9', 'B', 'G/B', 'C', 'A', 'G/A', 'Dsus', 'D', 'F#m7', 'G', 'Em7', 'G/A', 'A/G', 'Dadd9', 'F#', 'D/F#', 'Am7', 'C/D', 'D', 'G', 'F#', 'Bm', 'A', 'G', 'G/A', 'A/G', 'Bm', 'F#m7', 'G', 'G/A', 'A', 'G/A', 'A', 'Bb', 'Eb', 'Gm7', 'Db', 'Eb', 'Eb', 'Ab', 'Gm7', 'Fm7', 'Ab', 'Bb', 'Bb', 'Ab', 'Ebadd9', 'G', 'Eb/G', 'Bbm7', 'Db', 'Eb', 'Eb', 'Ab', 'Gsus', 'G', 'Cm', 'Bb', 'Ab', 'Ab', 'Bb', 'Gm7', 'Ab', 'Gm7', 'Fm7', 'G', 'Abmaj7', 'Eb', 'Fm', 'Eb', 'Ebadd9']","Abmaj7,Dadd9,C,F#,A/G,Bbm7,Bb,Gadd9,D,Bm,G,Db,Am7,Em/D,Eb,Em7/A,F#m7,A,Fm7,Fm,B,C/D,Ab,Gsus,Em,G/A,Dsus,Cm,Em7,Ebadd9,Gm7,G/B,Eb/G,D/F#",advanced,https://tabs.ultimate-guitar.com/tab/barry-manilow/if-you-were-here-with-me-tonight-chords-1125721
617,nyano-ghar,arthur-gunn,"['C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'C', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'F', 'C', 'G', 'F', 'F', 'Am', 'G', 'F', 'C', 'G', 'F', 'F', 'Am', 'G', 'G', 'C', 'G', 'Am', 'Am', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'Em', 'G', 'F', 'C', 'G', 'F', 'F', 'Am', 'G', 'F', 'C', 'G', 'F', 'F', 'Am', 'G', 'G', 'C', 'G', 'Am']","Em,C,Am,G,F",intermediate,https://tabs.ultimate-guitar.com/tab/arthur-gunn/nyano-ghar-chords-2959730
